date,AAPL,AMZN,F
2015-01-02,102.3192,308.52,12.4146
2015-01-05,99.4367,302.19,11.9297
2015-01-06,99.4461,295.29,11.8165
2015-01-07,100.8406,298.42,12.156
2015-01-08,104.7151,300.46,12.4631
2015-01-09,104.8274,296.93,12.2934
2015-01-12,102.2444,291.41,12.3014
2015-01-13,103.1522,294.74,12.2934
2015-01-14,102.7591,293.27,12.2125
2015-01-15,99.9702,286.95,12.0105
2015-01-16,99.1934,290.74,12.1398
2015-01-20,101.7484,289.44,12.1317
2015-01-21,102.5251,297.25,12.0994
2015-01-22,105.1924,310.32,12.1479
2015-01-23,105.7352,312.39,12.0509
2015-01-26,105.8475,309.66,12.1883
2015-01-27,102.1414,306.75,12.0024
2015-01-28,107.9158,303.91,11.8064
2015-01-29,111.2756,311.78,12.1249
2015-01-30,109.6471,354.53,12.0106
2015-02-02,111.0229,364.47,12.4678
2015-02-03,111.0416,363.55,12.7781
2015-02-04,111.8932,364.75,12.9577
2015-02-05,112.6919,373.89,12.9414
2015-02-06,111.7429,374.28,12.9495
2015-02-09,112.4852,370.56,12.9985
2015-02-10,114.6462,372.995,13.1373
2015-02-11,117.3333,375.14,13.268
2015-02-12,118.8179,377.17,13.3578
2015-02-13,119.4004,381.83,13.3088
2015-02-17,120.1051,375.43,13.1536
2015-02-18,120.9366,373.37,13.2353
2015-02-19,120.6876,378.995,13.4149
2015-02-20,121.6694,383.66,13.3904
2015-02-23,124.9626,380.14,13.3741
2015-02-24,124.1828,378.59,13.3578
2015-02-25,121.0071,385.37,13.4802
2015-02-26,122.5339,384.8,13.3741
2015-02-27,120.697,380.16,13.3414
2015-03-02,121.2889,385.655,13.5292
2015-03-03,121.5426,384.61,13.2026
2015-03-04,120.7722,382.72,13.0883
2015-03-05,118.7709,387.83,13.1536
2015-03-06,118.9494,380.09,13.0067
2015-03-09,119.4568,378.56,13.0883
2015-03-10,116.9857,369.51,12.8352
2015-03-11,114.8529,366.37,12.8597
2015-03-12,116.9293,374.24,13.2026
2015-03-13,116.1213,370.58,13.2271
2015-03-16,117.3991,373.35,13.4639
2015-03-17,119.3628,371.92,13.3823
2015-03-18,120.7064,375.135,13.4394
2015-03-19,119.7903,373.24,13.3414
2015-03-20,118.2917,378.49,13.4557
2015-03-23,119.5225,375.11,13.5292
2015-03-24,119.034,374.09,13.5211
2015-03-25,115.924,370.96,13.2108
2015-03-26,116.732,367.35,13.072
2015-03-27,115.8018,370.56,13.0475
2015-03-30,118.7333,374.59,13.1945
2015-03-31,116.9105,372.1,13.1781
2015-04-01,116.7414,370.255,12.9903
2015-04-02,117.7468,372.25,13.0883
2015-04-06,119.6541,377.04,13.0638
2015-04-07,118.3951,374.41,12.9822
2015-04-08,118.0098,381.2,13.0475
2015-04-09,118.9118,383.54,13.023
2015-04-10,119.4192,382.65,13.0883
2015-04-13,119.1843,382.36,12.9577
2015-04-14,118.6675,385.11,13.0393
2015-04-15,119.1185,383.45,13.121
2015-04-16,118.5454,386.04,13.0148
2015-04-17,117.2112,375.56,12.8679
2015-04-20,119.889,389.51,12.9903
2015-04-21,119.2407,391.18,12.9169
2015-04-22,120.8473,389.8,12.9903
2015-04-23,121.8339,389.99,12.8679
2015-04-24,122.407,445.1,12.876
2015-04-27,124.6338,438.56,12.9822
2015-04-28,122.6701,429.31,13.1128
2015-04-29,120.8661,429.37,13.2035
2015-04-30,117.587,421.78,13.0222
2015-05-01,121.1574,422.87,13.0304
2015-05-04,120.9225,423.04,13.0057
